,Text,Label
0,y r u always l8 to the meetings?,student
1,The project team embraced a user-centric design approach for product development.,ai
2,"i dont like dealing with risks, it's too stressful",student
3,"i dont worry about reliability, it's good enough",student
4,"i dont care about human-centered design, just give me the final product",student
5,The study's methodology ensured a representative sample across demographics.,ai
6,"i dont care about industry practices, just give me the solution",student
7,The project team documented all processes for transparency.,ai
8,The project team maintained open lines of communication.,ai
9,The findings are consistent with existing theoretical frameworks.,ai
10,"i dont like inclusive decision-making, it's too slow",student
11,The results are presented in a logically organized manner.,ai
12,The research findings have practical implications for industry professionals.,ai
13,"i dont talk about limitations, it makes me look bad",student
14,The research methodology incorporated a multi-method approach for comprehensive data.,ai
15,"i dont care about participant responses, just give me the data",student
16,"The study's limitations are openly acknowledged, recognizing study boundaries.",ai
17,"The study's limitations are openly discussed, recognizing potential shortcomings.",ai
18,"i dont like solving problems, it's too much effort",student
19,"i dont care about skill development, it's irrelevant",student
20,The research findings contribute to the theoretical foundation of the field.,ai
21,The project team maintained a collaborative and inclusive decision-making process.,ai
22,"i dont worry about bias, it's unavoidable",student
23,"i prefer working alone, teamwork is too complicated",student
24,The study of behavioral economics examines the psychological factors influencing economic decisions.,ai
25,lol ur jokes r so lame,student
26,The project team prioritized transparent communication with stakeholders.,ai
27,"In environmental science, the impact of deforestation on biodiversity is a critical concern.",ai
28,The research design accounts for potential confounding variables.,ai
29,"In the field of robotics, biomimicry leads to the development of more efficient robots.",ai
30,"i dont like solving problems, it's too much effort",student
31,"i dont talk about limitations, it makes me look bad",student
32,The project team adhered to the project timeline.,ai
33,"i dont worry about accuracy, it's good enough",student
34,It's important to cite sources properly in academic writing.,ai
35,The project team utilized feedback to enhance the project deliverables.,ai
36,"i dont care about psychological factors, just give me the data",student
37,"The study's limitations are openly discussed, addressing potential biases.",ai
38,"i dont understand machine learning, just give me the conclusion",student
39,The project team displayed creativity in problem-solving.,ai
40,The project team maintained a high level of accuracy in data entry.,ai
41,"i dont like continuous feedback, it's too repetitive",student
42,"The study's limitations are transparently presented, acknowledging potential challenges.",ai
43,"i dont like open communication, it's too time-consuming",student
44,"i dont care about internal validity, it's too technical",student
45,"i prefer to follow, leadership is too much responsibility",student
46,"In automotive design, aerodynamics play a crucial role in improving fuel efficiency.",ai
47,ur not gonna believe what happened in class today,student
48,y r u always l8 to the meetings?,student
49,The results are presented in a visually appealing and clear manner.,ai
50,The research methodology ensures data validity through robust statistical checks.,ai
51,The analysis revealed statistically significant correlations.,ai
52,The project team exhibited a high level of professionalism.,ai
53,"i dont pay attention to details, they slow me down",student
54,"i dont like collaborative knowledge-sharing, it's too time-consuming",student
55,"i dont care about biofuels, just give me the data",student
56,"i dont care about response rates, its not important",student
57,The automotive industry is exploring self-driving technology for safer transportation.,ai
58,The analysis considered potential correlations between variables for deeper understanding.,ai
59,The research design accounts for potential bias in data collection.,ai
60,"i dont need real-world problems, just give me the solution",student
61,The analysis employed rigorous statistical controls for data accuracy.,ai
62,"i collect data randomly, it's faster",student
63,The study's methodology minimizes the potential for sampling bias.,ai
64,"i dont like talking to people, communication is overrated",student
65,"i dont worry about reliability, it's good enough",student
66,The research methodology ensures the reliability of the study.,ai
67,"i dont care about CRISPR technology, just give me the data",student
68,This is a well-structured sentence.,ai
69,The project team utilized data encryption techniques to ensure participant privacy.,ai
70,u know wat im talkin abt right?,student
71,"i dont worry about accuracy, it's good enough",student
72,"i dont talk about limitations, it makes me look bad",student
73,"i dont like data visualization, it's unnecessary",student
74,"i dont have time to consider alternatives, just tell me what to do",student
75,The project team maintained an agile mindset for adaptability to changing requirements.,ai
76,The analysis employed machine learning algorithms for predictive modeling accuracy.,ai
77,The project team utilized industry best practices for quality assurance.,ai
78,The data analysis revealed statistically significant correlations.,ai
79,"I'm gonna skip class today, who cares?",student
80,"I dont like deadlines, they stress me out",student
81,"i dont like cloud-based tools, they're too complex",student
82,"i dont like agile approaches, they're too unpredictable",student
83,The study of psychology sheds light on the complexities of human behavior and cognition.,ai
84,"i dont like dealing with risks, it's too stressful",student
85,The survey instrument underwent rigorous validation procedures.,ai
